"Samples","Number.of.outlier","Outlier.genes"
"TCGA.13.1497.01A.01R.0477.01",24,"CD38, DUSP2, HIST1H2AE, EBI3, IGHD, CXCL11, APOBEC3G, TRIB2, CCR7, CCL19, MMP9, SLC12A8, SKAP1, IFI44L, FZD3, GSTT1, RGS1, RSAD2, LAMP3, MYB, CHI3L1, STXBP6, IGKC, CXCL10"
"TCGA.13.1498.01A.01R.0477.01",46,"RPL10L, PNOC, REPS2, ATHL1, SLC12A8, MYB, AIF1, APOL6, KYNU, CD38, SPOCK2, DACH1, KIRREL, BCL2A1, PBXIP1, CD40, LAMP3, MAP9, PLA2G7, GSTT1, EBI3, BIRC3, MS4A6A, SKAP1, LTB, CCL19, NCF2, CXCL9, CCR7, ZNF165, HPSE, CCL22, FCGR2B, PTPRG, RSAD2, CXCL11, CD69, APOBEC3G, TRIB2, FZD3, RGS1, IFI44L, HLA-DQA1, CCL20, CHI3L1, CXCL10"
"TCGA.13.1499.01A.01R.0477.01",42,"KIRREL, FCGR2B, SAMSN1, C3AR1, FOSB, PPFIBP1, CCR5, NCF2, APOL6, EBI3, EGR2, RNASE6, SPOCK2, CD2, CR2, GZMK, GPC4, PNOC, FZD3, C1orf54, CD38, DACH1, TRIB2, RSAD2, IL7R, IGHD, MS4A6A, FZD2, LAMP3, SELL, SLC12A8, APOBEC3G, CHI3L1, IFI44L, CCL19, CCND2, CXCL10, RGS1, CXCL9, HLA-DQA1, CXCL13, IGKC"
"TCGA.13.1500.01A.01R.0477.01",20,"REPS2, SMPDL3B, GSTT1, SLC15A3, PNOC, PPFIBP1, STXBP6, HRH1, RGS1, SLC12A8, FZD3, SPOCK2, PLEKHF1, CXCL10, LAMP3, APOBEC3G, AQP9, RSAD2, CHI3L1, IFI44L"
"TCGA.13.1501.01A.01R.0477.01",44,"EPHA1, PBXIP1, SMPDL3B, APOL6, GAL3ST4, ACP5, ZNF324, HPSE, REPS2, DACH1, COL8A2, TNFAIP6, C11orf80, RPL10L, CA8, GPR19, GPC4, C1orf54, RRP9, PLEKHF1, P2RY2, HIST1H2BG, LEF1, TCF7, CXCL10, KIRREL, PTPRG, BST1, BRAF, HIST1H2AE, SPOCK2, APOBEC3G, SPAG4, PPFIBP1, WNT7A, MAP9, RGS1, FZD3, SLC12A8, IGKC, TRIB2, PNOC, CHI3L1, STXBP6"
"TCGA.13.1504.01A.01R.0477.01",49,"LAMP3, SKAP1, CCR7, SAMSN1, MAP9, CCL13, TRIB2, ACP5, AIF1, GPC4, HIST1H2AE, IL7R, CCL22, DUSP2, PPFIBP1, KIRREL, GAL3ST4, CCL18, ST3GAL6, NCF2, C1orf54, HSPA6, SPOCK2, SLC12A8, TNFAIP6, HPSE, MYB, APOBEC3G, GPR19, MMP9, TREM2, PIK3IP1, PTPRG, SMPDL3B, LY86, RNASE6, HRH1, C3AR1, FCGR2B, FZD3, MS4A6A, STXBP6, RSAD2, CXCL10, IFI44L, PNOC, CHI3L1, HLA-DQA1, RGS1"
"TCGA.13.1505.01A.01R.0477.01",28,"CD27, SMPDL3B, C1orf54, TCF7, GSTT1, LEF1, PBXIP1, PPFIBP1, DACH1, ZNF165, MYB, MS4A6A, GPC4, CHI3L1, CD38, FZD2, RGS1, CA8, TRIB2, SPOCK2, CCND2, IGHD, APOBEC3G, IFI44L, SLC12A8, CXCL10, HLA-DQA1, IGKC"
"TCGA.13.1506.01A.01R.0477.01",46,"TREM1, SPOCK2, ST6GALNAC4, BST1, HPSE, PPFIBP1, SMPDL3B, ZNF222, LTB, EMR1, TRIB2, ST3GAL6, QPCT, RPL10L, GPC4, ZNF165, PLEKHF1, FCGR2B, CA8, RGS1, IL4R, ACP5, FZD2, MAP4K1, HIST1H2AE, RYR1, BIRC3, MYB, MAP9, PDK1, SLC15A3, LAMP3, IGKC, SPAG4, GSTT1, GPR19, RSAD2, PNOC, APOBEC3G, IFI44L, FZD3, MAGEA11, STXBP6, CCL20, CXCL10, CHI3L1"
"TCGA.13.1507.01A.01R.0477.01",41,"UGT2B17, ST3GAL6, APOL6, SPAG4, LY86, SAMSN1, HIST1H2AE, RNASE6, CCR7, APOBEC3A, NCF2, TREM2, EBI3, MMP12, SLC12A8, CXCL13, PNOC, CCL19, GNLY, CD38, LAMP3, TNFAIP6, WNT7A, IGHD, C1orf54, IGHM, SMPDL3B, GZMB, MAGEA11, ADAMDEC1, FCGR2B, MS4A6A, APOBEC3G, CXCL11, STXBP6, RGS1, IFI44L, RSAD2, CHI3L1, CXCL10, IGKC"
"TCGA.13.1509.01A.01R.0477.01",32,"C3AR1, LAMP3, TXK, ACP5, HPSE, QPCT, MS4A6A, CXCL10, FOSB, FZD3, SPOCK2, CD38, DUSP2, C1orf54, MANEA, FCGR2B, IGHD, TRIB2, SPAG4, CXCL9, PPFIBP1, EGR2, CHI3L1, MAGEA11, RGS1, STXBP6, APOBEC3G, PNOC, SLC12A8, FZD2, HLA-DQA1, IGKC"
"TCGA.13.1510.01A.02R.0477.01",26,"EBI3, HSPA6, LAMP3, FZD2, SPOCK2, IFI44L, TCF7, SPAG4, BIRC3, PIK3IP1, CCR7, DUSP2, ZNF165, MYB, HRH1, RGS1, PLEKHF1, HIST1H2AE, CCL22, MAP9, SLC12A8, GSTT1, APOBEC3G, CXCL10, HLA-DQA1, CHI3L1"
"TCGA.13.1511.01A.01R.0477.01",62,"BRAF, GAL3ST4, IL7R, TRPM4, BMP2K, LAMP3, SLC15A3, ST6GALNAC4, CCL20, MICAL3, NCF2, TRIB2, CD40, FZD2, DGKA, PPFIBP1, ICA1, APOL3, TRAF4, RPL10L, PTPRG, CCR7, TCF7, MAP4K1, SCN9A, C3AR1, FCGR2B, CA8, APOL6, REPS2, ZNF165, SMPDL3B, SLC12A8, TNFAIP6, MYB, IL4R, HNMT, VNN3, CCL22, C1orf54, ADAM28, SPAG4, PBXIP1, EAF2, PLEKHF1, PLA1A, ACP5, PDK1, FZD3, HPSE, PIK3IP1, LTB, RSAD2, CXCL10, APOBEC3G, RGS1, BIRC3, HLA-DQA1, STXBP6, CRISP3, IFI44L, CHI3L1"
"TCGA.13.1512.01A.01R.0477.01",59,"MAP9, RPL10L, IGKC, SAMSN1, PDK1, CCL20, ICA1, C3AR1, EBI3, TCF7, BRAF, GAL3ST4, CCL18, HNMT, CCR7, AIM2, ATHL1, HIST1H2BG, BST1, HPSE, MS4A6A, CCL19, CA8, APOBEC3G, NCF2, WNT7A, HIST1H2AE, ACP5, DACH1, TNFAIP6, SLC12A8, CDH12, PTPRG, FCGR2B, IL7R, GPC4, SPAG4, ADAMDEC1, SMPDL3B, CXCL9, DPP4, RGS1, C1orf54, KIRREL, BANK1, QPCT, LAMP3, RSAD2, CXCL13, PPFIBP1, IFI44L, FZD3, TRIB2, MMP9, HLA-DQA1, CHI3L1, STXBP6, CXCL10, PNOC"
"TCGA.13.2060.01A.01R.0709.01",40,"C3AR1, SLAMF8, HPSE, PBXIP1, PPFIBP1, SLAMF1, RSAD2, SMPDL3B, HIST1H2AE, GPC4, STXBP6, RNASE6, CD38, CCL4, FZD2, IRF8, CD40, MAP9, GSTT1, C1orf54, IFI44L, TNFAIP6, MAGEA11, SLC12A8, UGT2B17, DACH1, APOBEC3G, DSC1, CCR7, CXCL13, EBI3, PLEKHF1, MS4A6A, CXCL11, CCL19, RGS1, CHI3L1, CXCL9, IGKC, CXCL10"
"TCGA.20.0987.01A.02R.0434.01",38,"TRIB2, COL8A2, TREM1, LAMP3, CCL18, GAL3ST4, CA8, LY86, MMP12, PLA2G7, RNASE2, GNLY, AIF1, TREM2, CXCL13, APOL6, GSTT1, NCF2, SAMSN1, C3AR1, QPCT, APOBEC3G, SLAMF8, PLEKHF1, TLR2, RGS1, STXBP6, MS4A6A, PTGER2, RSAD2, BIRC3, IFI44L, HPSE, FCGR2B, CXCL9, CXCL10, IGKC, CHI3L1"
"TCGA.20.0990.01A.01R.0434.01",29,"ZFP36L2, BMP2K, RPL10L, APOBEC3G, MICAL3, PTPRG, RRP9, TCF7, TRIB2, ST3GAL6, ZNF165, FZD2, PPFIBP1, ACP5, RGS1, SMPDL3B, MAP9, KIRREL, PNOC, CXCL10, SLC12A8, SPOCK2, IGKC, GPC4, DACH1, CXCL9, MAGEA11, CDH12, STXBP6"
"TCGA.20.0991.01A.01R.0434.01",38,"APOL6, IL7R, RNASE6, TNFAIP6, IGSF6, CD2, TREM1, MAGEA11, CLEC7A, MARCO, CCL7, IGHD, STXBP6, C3AR1, EBI3, CCR7, ST3GAL6, CXCL11, BST1, SLAMF8, ADAMDEC1, SAMSN1, CCL19, LTB, CD69, APOBEC3G, AIM2, CXCL13, GZMB, RGS1, FCGR2B, CCL18, MMP12, HLA-DQA1, CXCL10, CHI3L1, IGKC, CXCL9"
"TCGA.20.0996.01A.02R.0434.01",41,"PLEKHF1, PTPRG, PBXIP1, LIME1, PPFIBP1, MICAL3, APOL6, IFI44L, FZD3, PIK3IP1, ICA1, SMPDL3B, RGS1, ADAM28, CD40, PNOC, ZNF165, TCF7, SLC12A8, QPCT, STXBP6, PTGER2, SPAG4, DACH1, CYP27A1, COL8A2, MAP9, LTC4S, SKAP1, HRH1, LEF1, RPL10L, SPOCK2, CCL18, HLA-DQA1, FZD2, BANK1, ST6GALNAC4, CHI3L1, APOBEC3G, TRIB2"
"TCGA.20.1682.01A.01R.0564.01",49,"CCR5, PPFIBP1, LAMP3, GPC4, IGHM, TREM2, CD2, BCL7A, LY86, FCGR2B, TRIB2, CA8, RASGRP3, IFI44L, GAL3ST4, GPR19, APOBEC3G, C3AR1, IGHD, RPL10L, HPSE, APOL6, DACH1, FOSB, REPS2, BST1, NCF2, CD70, C1orf54, MMP9, CLEC7A, RNASE6, FZD3, HTR2B, BRAF, QPCT, MS4A6A, PLEKHF1, GSTT1, CXCL13, RGS1, SLC12A8, STXBP6, CXCL9, SPAG4, CXCL10, IGKC, HLA-DQA1, CHI3L1"
"TCGA.20.1683.01A.01R.0564.01",38,"PTPRG, EAF2, HLA-DOB, RASGRP3, CXCL9, GAL3ST4, SAMSN1, PPFIBP1, PBXIP1, PNOC, PLEKHF1, EPN2, RPL10L, DUSP2, MAN1A1, TRIB2, COL8A2, SLC12A8, LIME1, ZNF324, FZD2, TCF7, CXCL10, FCGR2B, APOBEC3G, C1orf54, CD38, IFI44L, CHI3L2, RSAD2, RYR1, VILL, RGS1, ST3GAL6, IGHD, IGHM, CHI3L1, IGKC"
"TCGA.20.1684.01A.01R.0564.01",47,"GPC4, RPL10L, C1orf54, RCAN3, TRIB2, PPFIBP1, APOBEC3G, REPS2, CA8, BRAF, MICAL3, ADAM28, ADAMTS3, CYP27A1, STXBP6, HIST1H2AE, PDK1, GPR19, SMPDL3B, SKAP1, RRP9, HPSE, HLA-DQA1, TCF7, LEF1, PIK3IP1, MAP4K1, ZNF165, DACH1, UGT2B17, CRISP3, MAP9, GSTT1, PTPRG, DUSP2, RSAD2, FZD2, IFI44L, ST3GAL6, LAMP3, FZD3, PLEKHF1, MYB, MAGEA11, CXCL10, BST1, CHI3L1"
"TCGA.20.1685.01A.01R.0564.01",59,"PPFIBP1, RRP9, CCR7, CCL13, HPSE, BCL2A1, ST6GALNAC4, PLEKHF1, AIF1, CCR5, MAP9, CCL5, REPS2, ZNF324, IL1B, RSAD2, CCL19, CLEC7A, SLAMF8, APOBEC3G, GPC4, TLR2, RPL10L, BMP2K, FZD2, ACP5, TCF7, STXBP6, GAL3ST4, SPOCK2, MICAL3, PNOC, CCL18, FZD3, ZNF165, CXCL9, NCF2, C1orf54, PTPRG, ST3GAL6, GSTT1, UGT2B17, LY86, TREM2, PIK3IP1, SAMSN1, ADAMDEC1, IFI44L, C3AR1, CCL20, SLC12A1, RNASE6, MS4A6A, MYB, FCGR2B, HLA-DQA1, CHI3L1, RGS1, CXCL10"
"TCGA.20.1686.01A.01R.0564.01",24,"LAMP3, RGS1, PLEKHF1, HRH1, IGHM, BMP2K, BST1, MAGEA11, APOBEC3G, GPC4, FZD2, VNN1, IFI44L, TRAF4, PTPRG, MYB, ST3GAL6, SLC12A8, CRISP3, GSTT1, CXCL10, STXBP6, IGKC, CHI3L1"
"TCGA.20.1687.01A.01R.0564.01",35,"FOSB, RPL10L, VILL, AIF1, CYP27A1, TRPM4, PNOC, SKAP1, LY86, LTC4S, ZFP36L2, APOBEC3G, C3AR1, RSAD2, BIRC3, CCL20, STXBP6, RNASE6, PLEKHF1, DACH1, APOL6, SLC12A8, MS4A6A, TRIB2, FZD3, APOL3, PIK3IP1, HRH1, IGKC, IFI44L, HPSE, GSTT1, RGS1, CHI3L1, CXCL10"
"TCGA.23.1021.01B.01R.0434.01",30,"FZD3, HIST1H2BG, NCF2, SKAP1, PIK3IP1, RGS1, BANK1, P2RX5, ACP5, LAMP3, RSAD2, MMP9, TCF7, APOL6, AQP9, BIRC3, PLEKHF1, HIST1H2AE, MYB, LTC4S, SLC12A8, SPOCK2, TRIB2, CXCL10, PNOC, APOBEC3G, ATHL1, IFI44L, STXBP6, CHI3L1"
"TCGA.23.1022.01A.01R.0434.01",28,"TCF7, REPS2, MAP4K1, SMPDL3B, ST6GALNAC4, NCF2, PPFIBP1, BCL7A, ACP5, MICAL3, C1orf54, PLEKHF1, SKAP1, SLC12A8, FZD3, RPL10L, HRH1, PBXIP1, FZD2, LTB, KIRREL, MYB, WNT7A, CHI3L1, STXBP6, GSTT1, DACH1, PNOC"
"TCGA.23.1023.01R.01R.0808.01",60,"ZNF324, SMPDL3B, PRG2, PPFIBP1, IL7R, PPBP, HOXA1, ADAMDEC1, MYB, BIRC3, CXCL13, C1orf54, TCF7, CREB5, BCL7A, BANK1, P2RY14, ADAMTS3, BRAF, MEP1A, APOL6, ZNF165, FOSB, CD70, FLVCR2, IL7, REPS2, SLC12A8, APOBEC3G, MMP12, FZD3, DSC1, GSTT1, PTPRG, CXCL11, ADAM28, CXCL5, RSAD2, RGS1, IFI44L, TRIB2, STXBP6, TNFAIP6, MAP9, TSHR, PLA2G7, FZD2, KIRREL, CHI3L1, CXCL9, HLA-DQA1, LAMP3, QPCT, IGKC, HIST1H2AE, HIST1H2BG, CA8, CXCL10, SPOCK2, CCL20"
"TCGA.23.1024.01A.02R.0434.01",38,"DACH1, BIRC3, DUSP2, EGR2, CCL22, PLA2G7, ICA1, HIST1H2AE, TRIB2, MAP9, CHI3L1, MAGEA11, CCND2, PPFIBP1, CCL20, GAL3ST4, CYP27A1, CXCL11, LEF1, REPS2, SLC12A8, GPR19, DSC1, RPL10L, CDH12, TCF7, AQP9, MYB, BANK1, ACP5, PNOC, LAMP3, APOBEC3G, GPC4, RSAD2, IFI44L, PLEKHF1, CXCL10"
"TCGA.23.1026.01B.01R.0434.01",38,"DACH1, HCK, IRF8, BANK1, CD38, MAP9, REPS2, TCF7, GAL3ST4, TRIB2, NCF2, IL4R, MMP9, CXCL11, C1orf54, IL2RB, CCR7, EBI3, RSAD2, C3AR1, IGKC, SPOCK2, CA8, FZD3, APOL6, CCL19, PTGER2, GNLY, FCGR2B, RGS1, APOBEC3G, IFI44L, SLC12A8, QPCT, HLA-DQA1, PNOC, CXCL10, CHI3L1"
"TCGA.23.1027.01A.02R.0434.01",20,"PTPRG, ST6GALNAC4, RSAD2, FZD2, SPOCK2, CXCL3, NCF2, MS4A6A, IL1B, C3AR1, TRIB2, SLC12A8, FCGR2B, BIRC3, PNOC, RGS1, CCL20, IFI44L, CXCL10, CHI3L1"
"TCGA.23.1028.01A.01R.0434.01",59,"TRPM4, RCAN3, LTC4S, ZNF165, C1orf54, APOL3, ZNF324, RRP9, MICAL3, FZD2, VILL, GNLY, IL4R, PTPRG, CHI3L2, PLA2G7, ACP5, CA8, RGS1, VNN3, VNN2, CXCL3, GPC4, ZFP36L2, DUSP2, PIK3IP1, IFI44L, SLC12A8, RSAD2, QPCT, CXCL11, HPSE, DACH1, MYB, NCF2, RPL10L, PLEKHF1, SKAP1, IGKC, REPS2, AIM2, HRH1, PNOC, HLA-DOB, FZD3, LTB, BIRC3, APOL6, GSTT1, TRIB2, APOBEC3G, CXCL9, CRISP3, LAMP3, VNN1, HLA-DQA1, CXCL10, CCL20, CHI3L1"
"TCGA.23.1029.01B.01R.0582.01",27,"C1orf54, RNASE6, ST3GAL6, QPCT, MS4A6A, CCL20, TRIB2, PPFIBP1, SKAP1, GPC4, PLA1A, HPSE, APOL6, PNOC, FZD3, MYB, PTPRG, CDH12, SLC15A3, CXCL11, CHI3L1, STXBP6, APOBEC3G, RSAD2, LAMP3, IFI44L, CXCL10"
"TCGA.23.1030.01A.02R.0434.01",50,"VNN1, CCL18, C3AR1, MS4A6A, MMP9, CXCL5, ST3GAL6, IGKC, KIRREL, MMP12, IGSF6, C1orf54, ICA1, PTPRG, FCGR2B, PLEKHF1, BCL2A1, HRH1, TCF7, ZFP36L2, MAP9, LEF1, DUSP2, ZNF165, ACP5, CA8, PPFIBP1, SMPDL3B, TRIB2, FOSB, FZD3, WNT7A, AQP9, RGS1, SLC12A8, GSTT1, APOBEC3G, NCF2, RSAD2, HIST1H2AE, LAMP3, MAGEA11, BIRC3, DACH1, SPOCK2, CXCL10, IFI44L, CHI3L1, CCL20, PNOC"
"TCGA.23.1031.01A.01R.0434.01",54,"AQP9, MAP4K1, ACP5, RRP9, HPSE, DUSP2, IFI44L, PLEKHG3, HRH1, NCF2, PLEKHF1, C1orf54, GAL3ST4, MICAL3, EPN2, EGR2, SLC12A1, RGS1, BCL7A, TCF7, PPFIBP1, HIST1H2BG, RPL10L, PIK3IP1, MAP9, CCL20, FZD3, BRAF, WNT5B, APOBEC3G, SPAG4, STXBP6, GPR19, SMPDL3B, REPS2, CXCL10, ZNF165, LAMP3, MYB, PTPRG, LTB, ZFP36L2, ADAMTS3, SLC12A8, HIST1H2AE, FOSB, TRIB2, KIRREL, PBXIP1, GSTT1, SPOCK2, GPC4, PNOC, CHI3L1"
"TCGA.23.1032.01A.02R.0434.01",36,"RPL10L, PDK1, CCND2, KIRREL, PIK3IP1, BIRC3, CD69, ICA1, CCL22, PLA2G7, TRIB2, SLC12A8, ZNF165, TCF7, GPC4, APOBEC3G, PLEKHF1, SMPDL3B, REPS2, DUSP2, SKAP1, SPOCK2, MAP9, MAGEA11, APOBEC3A, ACP5, RSAD2, STXBP6, SPAG4, CHI3L1, AQP9, IFI44L, FZD3, PNOC, LAMP3, CXCL10"
"TCGA.23.1107.01A.01R.0434.01",39,"BRAF, HPSE, ST6GALNAC4, RRP9, LTC4S, HOXA1, SKAP1, ICA1, C3AR1, TNFSF14, SLC12A8, SMPDL3B, NCF2, ZNF222, PLEKHF1, MS4A6A, RPL10L, TCF7, PBXIP1, MAP9, MAP4K1, APOL6, PPFIBP1, ACP5, RGS1, GPC4, REPS2, LIME1, CXCL10, GSTT1, MYB, DUSP2, IGKC, MAGEA11, APOBEC3G, FZD3, TRPM4, STXBP6, CHI3L1"
"TCGA.23.1109.01A.01R.0434.01",19,"SMPDL3B, GAL3ST4, TRIB2, RYR1, FCER1A, BANK1, NCF2, FZD2, GSTT1, FZD3, MS4A6A, CHI3L1, SLC12A8, SPOCK2, HLA-DQA1, CXCL10, MMP9, PNOC, PLEKHF1"
"TCGA.23.1110.01A.01R.0434.01",18,"MAP9, RRP9, CYP27A1, DACH1, PASK, TRIB2, GPR19, FZD2, BCL7A, MYB, CHI3L1, CD40, MAP4K1, SPAG4, ZNF165, FZD3, TCF7, PNOC"
"TCGA.23.1111.01A.01R.0582.01",35,"LAMP3, FZD2, APOL6, CDA, VILL, TCF7, RPL10L, SLC12A8, PIK3IP1, HNMT, APOBEC3G, CYP27A1, PLEKHF1, LEF1, ZFP36L2, PTPRG, FOSB, ACP5, DACH1, SPAG4, PPFIBP1, COL8A2, FZD3, ADAM28, CXCL10, STXBP6, CCND2, SPOCK2, RSAD2, HRH1, GSTT1, TRIB2, CHI3L1, IFI44L, PNOC"
"TCGA.23.1113.01A.01R.0434.01",40,"TRPM4, MAP4K1, ATHL1, ICA1, PDK1, REPS2, GPC4, MYB, PBXIP1, RRP9, ST6GALNAC4, GAL3ST4, FCGR2B, VILL, KLRF1, CYP27A1, COL8A2, C3AR1, TCF7, APOBEC3G, KIRREL, RCAN3, RPL10L, PPFIBP1, ZFP36L2, SPAG4, PLEKHF1, TRIB2, PIK3IP1, RGS1, ACP5, HRH1, SLC12A8, P2RX5, SPOCK2, GSTT1, STXBP6, FZD3, CHI3L1, PNOC"
"TCGA.23.1114.01B.01R.0564.01",56,"RPL10L, SPAG4, LAMP3, GPC4, ZNF135, KIRREL, PDK1, ICA1, EPN2, CA8, APOBEC3G, GPR1, MANEA, NCF2, HHEX, ADAMTS3, CD22, HLA-DQA1, CXCL3, RYR1, RGS1, ATHL1, C1orf54, PBXIP1, LEF1, GPR19, BCL7A, STXBP6, SLC12A8, TCF7, MAP9, COL8A2, IL1B, ZFP36L2, SPOCK2, PTPRG, ZNF165, SMPDL3B, MMP12, ADAM28, ST3GAL6, CXCL10, MYB, IFI44L, GSTT1, DACH1, TRIB2, FZD3, EGR2, DUSP2, CHI3L1, FZD2, PPFIBP1, CCL20, PNOC, FOSB"
"TCGA.23.1116.01A.01R.0434.01",36,"GAL3ST4, DUSP2, C1orf54, FOSB, LTB, TLR2, IL1B, RYR1, GSTT1, BIRC3, ST3GAL6, CXCL3, WNT7A, APOBEC3G, FCGR2B, NCF2, PTPRG, CD69, RSAD2, STXBP6, HLA-DQA1, MS4A6A, TRIB2, C3AR1, ATHL1, SLC12A8, PLEKHF1, FCGR3B, ADAMDEC1, TNFAIP6, MMP12, RGS1, IFI44L, PPFIBP1, CXCL10, CXCL5"
"TCGA.23.1117.01A.02R.0434.01",22,"IGKC, PPFIBP1, IL4R, PLEKHF1, NCF2, ACP5, EBI3, FCGR2B, RGS1, TCF7, MS4A6A, HLA-DOB, MMP9, SPOCK2, C1orf54, PNOC, APOBEC3G, SLC12A8, HLA-DQA1, CHI3L1, CXCL10, CXCL9"
"TCGA.23.1118.01A.01R.0434.01",44,"RPL10L, SKAP1, MICAL3, BIRC3, TCF7, PLEKHF1, HIST1H2AE, APOL6, C3AR1, GAL3ST4, CCL22, FCGR2B, CCR7, AIM2, HPSE, SPOCK2, C1orf54, CCL20, TRIB2, APOBEC3G, PPFIBP1, NCF2, MYB, ST3GAL6, DUSP2, MAP9, QPCT, CXCL11, MS4A6A, SLC12A8, ADAMDEC1, PNOC, CXCL9, FZD3, RSAD2, ATHL1, LAMP3, GSTT1, HLA-DQA1, RGS1, STXBP6, IFI44L, CXCL10, CHI3L1"
"TCGA.23.1119.01A.02R.0434.01",33,"PBXIP1, CYP27A1, GAL3ST4, NCF2, REPS2, C3AR1, HIST1H2AE, GSTT1, PPFIBP1, PIK3IP1, TCF7, C1orf54, FZD3, IGHD, SPOCK2, ACP5, IGHM, FCGR2B, RGS1, SLC12A8, QPCT, PTPRG, GPC4, HLA-DQA1, APOBEC3G, MS4A6A, CXCL10, REN, STXBP6, IGKC, CXCL9, CHI3L1, FZD2"
"TCGA.23.1120.01A.02R.0434.01",29,"SLC12A8, WNT7A, MICAL3, BCL2A1, FZD2, HPSE, CCL4, MAP9, RGS1, SPOCK2, TRIB2, TNFAIP6, APOL6, CXCL11, MS4A6A, EBI3, CCR7, LAMP3, LTB, GSTT1, RSAD2, CCL19, PNOC, STXBP6, MAGEA11, APOBEC3G, IFI44L, CHI3L1, CXCL10"
"TCGA.23.1121.01A.01R.0434.01",21,"BCL7A, MAP4K1, TCF7, KIRREL, SLC12A1, HIST1H2BG, FZD3, HIST1H2AE, COL8A2, ZNF165, RGS1, PTPRG, DUSP2, DACH1, STXBP6, GPC4, HTR2B, MYB, FZD2, CHI3L1, IGKC"
"TCGA.23.1122.01A.01R.0434.01",57,"RYR1, BMP2K, MICAL3, LIME1, PBXIP1, NCF2, GAL3ST4, SLC15A3, ADAM28, CCL20, DACH1, REPS2, CXCL11, TCF7, LY86, SLC12A1, FRK, FZD2, SLC12A8, GPC4, EGR2, DUSP2, PTPRG, TREM2, DSC1, APOL6, ZNF165, RNASE6, KIRREL, PLEKHF1, PPFIBP1, C3AR1, C1orf54, ACP5, FCGR2B, ATHL1, MS4A6A, MYB, SPOCK2, HIST1H2AE, TRIB2, HIST1H2BG, FZD3, SMPDL3B, STXBP6, RGS1, MAGEA11, RSAD2, HPSE, APOBEC3G, FOSB, LAMP3, PNOC, IFI44L, GSTT1, CXCL10, CHI3L1"
"TCGA.23.1123.01A.01R.0434.01",27,"ST3GAL6, SLC12A8, STXBP6, APOL6, NCF2, ADAMDEC1, TNFAIP6, RNASE6, ACP5, GSTT1, CCL4, C3AR1, LAMP3, CCL20, CCR7, EBI3, RGS1, HLA-DQA1, CCL19, PLEKHF1, MS4A6A, RSAD2, APOBEC3G, IGKC, CHI3L1, IFI44L, CXCL10"
"TCGA.23.1124.01A.01R.0434.01",17,"PTPRG, NCF2, RGS1, FOSB, ATHL1, SLC12A8, LTB, GPC4, PNOC, APOBEC3G, VNN1, CCL20, LAMP3, SPOCK2, IFI44L, CXCL10, CHI3L1"
"TCGA.23.1809.01A.01R.0564.01",57,"CXCL5, ZFP36L2, GPR19, APOL6, SMPDL3B, EPN2, RPL10L, MANEA, RCAN3, PASK, C3AR1, GAL3ST4, IRF8, FZD2, TRIB2, SSX1, SLC2A6, HIST1H2BG, PLEKHF1, TNFAIP6, TSHR, PPFIBP1, KIRREL, ACP5, BRAF, ZNF222, C1orf54, COL8A2, ZNF135, DACH1, MICAL3, RSAD2, ZNF165, NCF2, MAP9, TCF7, CCL20, LAMP3, CDH12, MAGEA11, IGKC, IFI44L, RYR1, SLC12A8, PDK1, APOBEC3G, HPSE, HIST1H2AE, SPAG4, PNOC, CXCL10, CHI3L1, P2RX5, CA8, PLA2G7, QPCT, SPOCK2"
"TCGA.23.2072.01A.01R.0668.01",41,"ADAM28, C3AR1, HOXA1, HIST1H2AE, TRPM4, TCF7, BIRC3, LEF1, C1orf54, DEPDC5, IFI44L, FZD3, PTGER2, DGKA, PBXIP1, ST3GAL6, IL4R, CXCL3, DUSP2, HCK, C11orf80, SMPDL3B, GSTT1, PIK3IP1, REPS2, WNT7A, FOSB, STXBP6, PLEKHF1, ATHL1, CRISP3, VILL, CCL20, APOBEC3G, ZFP36L2, SLC12A8, CHI3L1, TRIB2, SPOCK2, HRH1, PNOC"
"TCGA.23.2077.01A.01R.0668.01",58,"CYP27A1, CCL13, REPS2, SPAG4, CSF3R, HRH1, BCL7A, CCR5, HIST1H2AE, GPR19, ZFP36L2, SKAP1, PLEKHF1, RYR1, DUSP2, CLEC7A, CA8, ADAMDEC1, PTPRG, QPCT, GPR65, ACP5, HLA-DOB, GAL3ST4, DACH1, APOL6, CCL18, PIK3IP1, NCF2, FZD2, PBXIP1, TRIB2, SPOCK2, SAMSN1, TREM2, C1orf54, RGS1, CR2, SLC12A8, C3AR1, LY86, HPSE, APOBEC3G, RSAD2, LTC4S, GPC4, SMPDL3B, CXCL11, RNASE6, MS4A6A, PNOC, FCGR2B, LAMP3, GSTT1, IFI44L, HLA-DQA1, CXCL10, CHI3L1"
"TCGA.23.2078.01A.01R.0668.01",27,"CXCL13, C1orf54, MMP12, RGS1, MAP9, GSTT1, EBI3, SLC12A8, CCL19, DACH1, FZD2, SELL, PTPRG, MS4A6A, SPAG4, FZD3, CXCL9, WNT7A, PNOC, CXCL10, HLA-DQA1, IL7R, IFI44L, TRIB2, CHI3L1, STXBP6, IGKC"
